event_id,timestamp,host,user,event_type,anomaly_score,is_anom
0,2025-01-01 00:00:00,host_0,user_0,cluster_487,0.47399812936782837,True
1,2025-01-01 00:00:01,host_0,user_0,cluster_1,0.47399812936782837,True
2,2025-01-01 00:00:02,host_0,user_0,cluster_1,0.47399812936782837,True
3,2025-01-01 00:00:03,host_0,user_0,cluster_1,0.47399812936782837,True
4,2025-01-01 00:00:04,host_0,user_0,cluster_1,0.47399812936782837,True
5,2025-01-01 00:00:05,host_0,user_0,cluster_1,0.47399812936782837,True
6,2025-01-01 00:00:06,host_0,user_0,cluster_1,0.47399812936782837,True
7,2025-01-01 00:00:07,host_0,user_0,cluster_1,0.47399812936782837,True
8,2025-01-01 00:00:08,host_0,user_0,cluster_1,0.47399812936782837,True
9,2025-01-01 00:00:09,host_0,user_0,cluster_1,0.47399812936782837,True
10,2025-01-01 00:00:10,host_0,user_0,cluster_1,0.47399812936782837,True
11,2025-01-01 00:00:11,host_0,user_0,cluster_1,0.47399812936782837,True
12,2025-01-01 00:00:12,host_0,user_0,cluster_1,0.47399812936782837,True
13,2025-01-01 00:00:13,host_0,user_0,cluster_1,0.47399812936782837,True
14,2025-01-01 00:00:14,host_0,user_0,cluster_1,0.47399812936782837,True
15,2025-01-01 00:00:15,host_0,user_0,cluster_1,0.47399812936782837,True
16,2025-01-01 00:00:16,host_0,user_0,cluster_1,0.47399812936782837,True
17,2025-01-01 00:00:17,host_0,user_0,cluster_1,0.47399812936782837,True
18,2025-01-01 00:00:18,host_0,user_0,cluster_1,0.47399812936782837,True
19,2025-01-01 00:00:19,host_0,user_0,cluster_1,0.47399812936782837,True
20,2025-01-01 00:00:20,host_0,user_0,cluster_1,0.47399812936782837,True
21,2025-01-01 00:00:21,host_0,user_0,cluster_1,0.47399812936782837,True
22,2025-01-01 00:00:22,host_0,user_0,cluster_1,0.47399812936782837,True
23,2025-01-01 00:00:23,host_0,user_0,cluster_1,0.47399812936782837,True
24,2025-01-01 00:00:24,host_0,user_0,cluster_1,0.47399812936782837,True
25,2025-01-01 00:00:25,host_0,user_0,cluster_1,0.47399812936782837,True
26,2025-01-01 00:00:26,host_0,user_0,cluster_1,0.47399812936782837,True
27,2025-01-01 00:00:27,host_0,user_0,cluster_1,0.47399812936782837,True
28,2025-01-01 00:00:28,host_0,user_0,cluster_1,0.47399812936782837,True
29,2025-01-01 00:00:29,host_0,user_0,cluster_1,0.47399812936782837,True
30,2025-01-01 00:00:30,host_0,user_0,cluster_1,0.47399812936782837,True
31,2025-01-01 00:00:31,host_0,user_0,cluster_1,0.47399812936782837,True
32,2025-01-01 00:00:32,host_0,user_0,cluster_1,0.47399812936782837,True
33,2025-01-01 00:00:33,host_0,user_0,cluster_1,0.47399812936782837,True
34,2025-01-01 00:00:34,host_0,user_0,cluster_1,0.47399812936782837,True
35,2025-01-01 00:00:35,host_0,user_0,cluster_1,0.47399812936782837,True
36,2025-01-01 00:00:36,host_0,user_0,cluster_1,0.47399812936782837,True
37,2025-01-01 00:00:37,host_0,user_0,cluster_1,0.47399812936782837,True
38,2025-01-01 00:00:38,host_0,user_0,cluster_1,0.47399812936782837,True
39,2025-01-01 00:00:39,host_0,user_0,cluster_1,0.47399812936782837,True
40,2025-01-01 00:00:40,host_0,user_0,cluster_1,0.47399812936782837,True
41,2025-01-01 00:00:41,host_0,user_0,cluster_1,0.47399812936782837,True
42,2025-01-01 00:00:42,host_0,user_0,cluster_1,0.47399812936782837,True
43,2025-01-01 00:00:43,host_0,user_0,cluster_1,0.47399812936782837,True
44,2025-01-01 00:00:44,host_0,user_0,cluster_1,0.47399812936782837,True
45,2025-01-01 00:00:45,host_0,user_0,cluster_1,0.47399812936782837,True
46,2025-01-01 00:00:46,host_0,user_0,cluster_1,0.47399812936782837,True
47,2025-01-01 00:00:47,host_0,user_0,cluster_1,0.47399812936782837,True
48,2025-01-01 00:00:48,host_0,user_0,cluster_1,0.47399812936782837,True
49,2025-01-01 00:00:49,host_0,user_0,cluster_1,0.47399812936782837,True
50,2025-01-01 00:00:50,host_1,user_1,cluster_28,0.443487286567688,False
51,2025-01-01 00:00:51,host_1,user_1,cluster_1,0.443487286567688,False
52,2025-01-01 00:00:52,host_1,user_1,cluster_1,0.443487286567688,False
53,2025-01-01 00:00:53,host_1,user_1,cluster_1,0.443487286567688,False
54,2025-01-01 00:00:54,host_1,user_1,cluster_1,0.443487286567688,False
55,2025-01-01 00:00:55,host_1,user_1,cluster_1,0.443487286567688,False
56,2025-01-01 00:00:56,host_1,user_1,cluster_1,0.443487286567688,False
57,2025-01-01 00:00:57,host_1,user_1,cluster_1,0.443487286567688,False
58,2025-01-01 00:00:58,host_1,user_1,cluster_1,0.443487286567688,False
59,2025-01-01 00:00:59,host_1,user_1,cluster_1,0.443487286567688,False
60,2025-01-01 00:01:00,host_1,user_1,cluster_1,0.443487286567688,False
61,2025-01-01 00:01:01,host_1,user_1,cluster_1,0.443487286567688,False
62,2025-01-01 00:01:02,host_1,user_1,cluster_1,0.443487286567688,False
63,2025-01-01 00:01:03,host_1,user_1,cluster_1,0.443487286567688,False
64,2025-01-01 00:01:04,host_1,user_1,cluster_1,0.443487286567688,False
65,2025-01-01 00:01:05,host_1,user_1,cluster_1,0.443487286567688,False
66,2025-01-01 00:01:06,host_1,user_1,cluster_1,0.443487286567688,False
67,2025-01-01 00:01:07,host_1,user_1,cluster_1,0.443487286567688,False
68,2025-01-01 00:01:08,host_1,user_1,cluster_1,0.443487286567688,False
69,2025-01-01 00:01:09,host_1,user_1,cluster_1,0.443487286567688,False
70,2025-01-01 00:01:10,host_1,user_1,cluster_1,0.443487286567688,False
71,2025-01-01 00:01:11,host_1,user_1,cluster_1,0.443487286567688,False
72,2025-01-01 00:01:12,host_1,user_1,cluster_1,0.443487286567688,False
73,2025-01-01 00:01:13,host_1,user_1,cluster_1,0.443487286567688,False
74,2025-01-01 00:01:14,host_1,user_1,cluster_1,0.443487286567688,False
75,2025-01-01 00:01:15,host_1,user_1,cluster_1,0.443487286567688,False
76,2025-01-01 00:01:16,host_1,user_1,cluster_1,0.443487286567688,False
77,2025-01-01 00:01:17,host_1,user_1,cluster_1,0.443487286567688,False
78,2025-01-01 00:01:18,host_1,user_1,cluster_1,0.443487286567688,False
79,2025-01-01 00:01:19,host_1,user_1,cluster_1,0.443487286567688,False
80,2025-01-01 00:01:20,host_1,user_1,cluster_1,0.443487286567688,False
81,2025-01-01 00:01:21,host_1,user_1,cluster_1,0.443487286567688,False
82,2025-01-01 00:01:22,host_1,user_1,cluster_1,0.443487286567688,False
83,2025-01-01 00:01:23,host_1,user_1,cluster_1,0.443487286567688,False
84,2025-01-01 00:01:24,host_1,user_1,cluster_1,0.443487286567688,False
85,2025-01-01 00:01:25,host_1,user_1,cluster_1,0.443487286567688,False
86,2025-01-01 00:01:26,host_1,user_1,cluster_1,0.443487286567688,False
87,2025-01-01 00:01:27,host_1,user_1,cluster_1,0.443487286567688,False
88,2025-01-01 00:01:28,host_1,user_1,cluster_1,0.443487286567688,False
89,2025-01-01 00:01:29,host_1,user_1,cluster_1,0.443487286567688,False
90,2025-01-01 00:01:30,host_1,user_1,cluster_1,0.443487286567688,False
91,2025-01-01 00:01:31,host_1,user_1,cluster_1,0.443487286567688,False
92,2025-01-01 00:01:32,host_1,user_1,cluster_1,0.443487286567688,False
93,2025-01-01 00:01:33,host_1,user_1,cluster_1,0.443487286567688,False
94,2025-01-01 00:01:34,host_1,user_1,cluster_1,0.443487286567688,False
95,2025-01-01 00:01:35,host_1,user_1,cluster_1,0.443487286567688,False
96,2025-01-01 00:01:36,host_1,user_1,cluster_1,0.443487286567688,False
97,2025-01-01 00:01:37,host_1,user_1,cluster_1,0.443487286567688,False
98,2025-01-01 00:01:38,host_1,user_1,cluster_1,0.443487286567688,False
99,2025-01-01 00:01:39,host_1,user_1,cluster_1,0.443487286567688,False
100,2025-01-01 00:01:40,host_2,user_2,cluster_309,0.43593287467956543,False
101,2025-01-01 00:01:41,host_2,user_2,cluster_1,0.43593287467956543,False
102,2025-01-01 00:01:42,host_2,user_2,cluster_1,0.43593287467956543,False
103,2025-01-01 00:01:43,host_2,user_2,cluster_1,0.43593287467956543,False
104,2025-01-01 00:01:44,host_2,user_2,cluster_1,0.43593287467956543,False
105,2025-01-01 00:01:45,host_2,user_2,cluster_1,0.43593287467956543,False
106,2025-01-01 00:01:46,host_2,user_2,cluster_1,0.43593287467956543,False
107,2025-01-01 00:01:47,host_2,user_2,cluster_1,0.43593287467956543,False
108,2025-01-01 00:01:48,host_2,user_2,cluster_1,0.43593287467956543,False
109,2025-01-01 00:01:49,host_2,user_2,cluster_1,0.43593287467956543,False
110,2025-01-01 00:01:50,host_2,user_2,cluster_1,0.43593287467956543,False
111,2025-01-01 00:01:51,host_2,user_2,cluster_1,0.43593287467956543,False
112,2025-01-01 00:01:52,host_2,user_2,cluster_1,0.43593287467956543,False
113,2025-01-01 00:01:53,host_2,user_2,cluster_1,0.43593287467956543,False
114,2025-01-01 00:01:54,host_2,user_2,cluster_1,0.43593287467956543,False
115,2025-01-01 00:01:55,host_2,user_2,cluster_1,0.43593287467956543,False
