event_id,timestamp,host,user,event_type,anomaly_score,is_anom
500,2025-01-01 00:08:20,host_0,user_1,cluster_148,0.5146418511867523,True
501,2025-01-01 00:08:21,host_0,user_1,cluster_1,0.5146418511867523,True
502,2025-01-01 00:08:22,host_0,user_1,cluster_1,0.5146418511867523,True
503,2025-01-01 00:08:23,host_0,user_1,cluster_1,0.5146418511867523,True
504,2025-01-01 00:08:24,host_0,user_1,cluster_1,0.5146418511867523,True
506,2025-01-01 00:08:26,host_0,user_1,cluster_1,0.5146418511867523,True
507,2025-01-01 00:08:27,host_0,user_1,cluster_1,0.5146418511867523,True
511,2025-01-01 00:08:31,host_0,user_1,cluster_1,0.5146418511867523,True
518,2025-01-01 00:08:38,host_0,user_1,cluster_1,0.5146418511867523,True
520,2025-01-01 00:08:40,host_0,user_1,cluster_1,0.5146418511867523,True
534,2025-01-01 00:08:54,host_0,user_1,cluster_1,0.5146418511867523,True
543,2025-01-01 00:09:03,host_0,user_1,cluster_1,0.5146418511867523,True
547,2025-01-01 00:09:07,host_0,user_1,cluster_1,0.5146418511867523,True
